full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
0	0	316	8	9	0	0|1|0	1|1|0	0|1|0	0	0	0
0	0	58	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	209	11	0	0	0|1|0	0|0|0	0|1|0	0	0	0
0	0	208	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	247	8	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	246	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
249	29	312	15	16	0	0|1|0	0|1|0	0|1|0	22	8	0
953	26	57	14	0	10	0|0|0	0|0|0	0|0|0	0	0	0
1024	0	209	12	9	0	0|1|0	1|1|0	0|1|0	0	0	0
1401	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1253	18	250	15	16	0	0|1|0	0|1|0	0|1|0	0	0	0
0	16	251	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	316	0	9	0	0|1|0	1|1|0	0|1|0	0	0	0
0	0	58	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
78	0	209	11	0	0	0|1|0	0|0|0	0|1|0	0	0	0
157	0	208	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
313	0	247	8	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	246	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	312	11	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	57	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
0	0	209	8	0	0	0|0|0	0|0|0	0|0|0	0	0	0
116	29	249	15	16	11	0|0|0	0|1|0	0|1|0	23	8	6
0	26	0	14	0	13	0|0|0	0|0|0	0|0|0	0	0	5
512	0	296	10	9	14	0|0|0	1|1|0	0|1|0	0	0	4
244	0	0	8	0	0	0|0|0	0|0|0	0|0|0	0	0	0
884	0	116	7	0	13	0|0|0	0|0|0	0|1|0	0	0	0
0	0	0	6	0	12	1|0|0	0|0|0	0|1|0	0	0	0
0	0	249	5	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
256	29	297	15	16	0	0|1|0	0|1|0	0|1|0	47	8	0
0	26	42	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	119	0	9	0	1|1|0	1|1|0	0|1|0	0	0	0
0	0	117	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	15	0	0	0|1|0	0|0|0	0|1|0	0	0	0
0	0	248	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	294	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	37	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	29	115	9	16	0	0|1|0	0|1|0	0|1|0	23	8	0
0	26	116	0	0	10	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	9	0	0|1|0	1|1|0	0|1|0	0	0	0
0	18	297	0	16	0	0|1|0	0|1|0	0|1|0	0	0	0
0	16	42	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	119	0	9	0	0|1|0	1|1|0	0|1|0	0	0	0
0	0	117	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
820	0	249	13	0	0	0|1|0	0|0|0	0|1|0	0	0	0
244	0	248	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1024	0	294	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1460	0	37	9	0	0	0|0|0	0|0|0	0|0|0	0	0	0
745	0	115	13	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	116	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
332	866	1327	15	15	16	0|1|0	0|1|0	0|1|0	42	10	0
0	1058	0	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1280	0	0	12	0	0|1|0	0|1|0	1|1|0	0	0	0
0	226	0	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1570	2655	0	8	16	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
166	1327	1327	11	16	16	0|1|0	0|1|0	0|1|0	0	10	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	1|1|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	16	0|0|0	0|1|0	0|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
296	866	0	15	15	16	0|1|0	0|1|0	0|1|0	0	0	0
0	1058	0	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1280	0	0	12	0	0|1|0	0|1|0	1|1|0	0	0	0
0	226	0	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1570	0	0	8	16	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
76	664	0	11	16	16	0|1|0	0|1|0	0|1|0	0	10	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	15	0	16	0|1|0	0|1|0	0|1|0	0	0	0
23	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	866	0	0	15	16	0|1|0	0|1|0	0|1|0	0	0	0
0	1058	0	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1280	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
