full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
443	443	221	11	10	10	0|0|0	0|1|0	0|1|0	0	0	6
571	886	443	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	1760	880	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
187	212	106	4	7	7	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	3	0	0	1|0|0	0|1|0	0|1|0	0	0	0
0	200	100	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	2	0	0	0|0|0	0|0|0	0|0|0	0	0	0
256	188	94	8	0	0	0|0|0	0|1|0	0|1|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	176	88	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	164	82	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	152	76	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	140	70	8	7	7	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	128	64	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	116	58	8	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	104	52	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	92	46	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	80	40	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	68	34	8	7	7	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	56	28	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	44	22	8	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	32	16	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	20	10	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	8	4	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	1532	766	8	7	7	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	240	248	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	228	242	8	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	216	236	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	4	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	204	230	12	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	192	224	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	180	218	9	8	8	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	8	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	168	212	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	156	206	12	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	144	200	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	132	194	9	8	8	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	8	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	120	188	5	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	108	182	13	11	11	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	11	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	96	176	8	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	84	170	10	9	9	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	9	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	72	164	6	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	5	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	60	158	10	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	9	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	48	152	6	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	5	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	36	146	13	11	11	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	11	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	24	140	8	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	12	134	10	9	9	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	9	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	0	128	6	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	5	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	1268	122	10	0	0	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	9	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	232	116	6	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	5	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	220	110	14	12	12	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	208	104	8	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	7	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	196	98	11	10	10	0|0|0	0|0|0	0|0|0	0	0	6
571	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	5
187	184	92	7	0	0	0|0|0	0|0|0	0|0|0	0	0	4
827	0	0	6	0	0	0|0|0	0|0|0	0|0|0	0	0	0
443	296	62	11	11	11	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	10	9	9	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	7	4	4	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	6	7	7	0|0|0	0|0|0	0|0|0	0	0	1
443	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
571	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
187	0	0	8	6	6	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	7	5	5	0|0|0	0|0|0	0|0|0	0	0	0
443	0	62	11	11	11	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	10	9	9	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	7	4	4	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	6	7	7	0|0|0	0|0|0	0|0|0	0	0	1
443	0	62	11	11	11	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	10	9	9	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	7	4	4	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	6	7	7	0|0|0	0|0|0	0|0|0	0	0	1
443	0	62	15	15	15	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	13	12	12	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	9	6	6	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	8	9	9	0|0|0	0|0|0	0|0|0	0	0	1
443	0	62	11	11	11	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	10	9	9	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	7	4	4	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	6	7	7	0|0|0	0|0|0	0|0|0	0	0	1
443	0	62	15	15	15	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	13	12	12	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	9	6	6	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	8	9	9	0|0|0	0|0|0	0|0|0	0	0	1
443	0	62	11	11	11	0|0|0	0|0|0	0|0|0	0	0	0
571	0	124	10	9	9	0|0|0	0|0|0	0|0|0	0	0	0
187	0	249	7	4	4	0|0|0	0|0|0	0|0|0	0	0	0
827	0	0	6	7	7	0|0|0	0|0|0	0|0|0	0	0	1
98	0	0	15	15	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	332	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	16	0	15	1|1|0	0|1|0	0|1|0	28	10	0
0	0	249	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	332	15	11	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	221	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	332	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	221	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	249	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	332	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	23	0	15	15	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	332	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	332	15	11	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	221	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	332	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	221	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	0	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	76	249	15	15	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	332	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	332	15	11	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	221	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	332	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	221	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	249	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	332	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	187	0	15	15	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	332	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	332	15	11	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	221	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	332	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	221	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	0	0	15	0	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	0	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	249	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
866	40	124	15	12	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	249	14	14	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	15	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	166	8	14	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	0	13	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
0	148	111	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	15	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	124	0	14	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	13	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
866	296	166	15	9	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	332	14	10	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	11	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	111	8	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
0	148	124	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	11	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	166	0	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
866	167	111	15	13	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	334	221	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	77	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	78	0	10	12	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	125	124	8	13	11	0|0|0	0|0|0	0|0|0	0	0	0
0	251	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	250	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	251	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
0	112	166	16	13	15	1|1|0	0|1|0	0|1|0	0	10	0
0	223	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	222	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	223	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
0	167	111	0	13	11	0|0|0	0|0|0	0|0|0	0	0	0
0	334	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	77	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	78	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
866	125	124	15	10	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	251	249	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	250	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	251	0	10	9	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	112	166	8	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	223	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	222	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	223	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
0	167	166	16	10	15	1|1|0	0|1|0	0|1|0	0	10	0
0	334	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	77	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	78	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
0	125	124	0	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	251	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	250	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	251	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
866	279	124	15	12	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	249	14	14	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	15	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	166	8	14	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	0	13	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
0	140	111	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	15	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	124	0	14	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	13	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
866	279	166	15	9	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	332	14	10	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	11	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	111	8	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
0	140	124	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	249	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	11	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	166	0	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
866	84	111	15	13	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	168	221	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	333	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	78	0	10	12	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	63	124	8	13	11	0|0|0	0|0|0	0|0|0	0	0	0
0	126	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	250	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	251	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
0	56	124	16	13	15	1|1|0	0|1|0	0|1|0	0	10	0
0	113	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	222	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	223	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
0	84	111	0	13	11	0|0|0	0|0|0	0|0|0	0	0	0
0	168	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	333	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	78	0	0	12	0	0|0|0	0|0|0	0|0|0	0	0	0
866	63	111	15	10	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	126	221	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	250	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	251	0	10	9	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	56	124	8	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	113	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	222	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	223	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
0	84	166	16	10	15	1|1|0	0|1|0	0|1|0	0	10	0
0	168	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	333	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	78	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
0	63	111	0	10	11	0|0|0	0|0|0	0|0|0	0	0	0
0	126	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	250	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	251	0	0	9	0	0|0|0	0|0|0	0|0|0	0	0	0
866	332	124	15	15	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	249	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	0	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	166	8	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	332	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	166	111	16	0	15	1|1|0	0|1|0	0|1|0	0	10	0
0	0	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	124	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	0	249	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
866	332	166	15	11	15	0|1|0	0|1|0	0|1|0	0	0	0
1058	0	332	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
