start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
137.77131020408163,139.16579138321995,29,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.08812154195013,135.23905124716555,61,57,1,1,1,1,1,1,1,2,1,1,1,1,1
132.10178956916099,132.29915918367348,62,59,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
132.10178956916099,132.65906848072564,47,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131.95085986394557,132.10178956916099,47,55,1,1,1,1,1,1,1,1,1,0,0,0,1
130.34739909297053,130.55637868480727,54,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129.72046031746032,130.02231972789116,66,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129.3837709750567,129.62758049886622,59,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
129.17479138321997,129.3837709750567,59,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125.78211020408163,125.93303990929705,71,58,1,1,1,1,1,1,1,1,1,1,1,1,1
121.7973201814059,122.04112970521541,59,77,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121.58834058956916,121.77410022675737,61,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121.37936099773242,121.56512063492063,62,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120.84401814058957,121.0529977324263,54,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120.5189387755102,120.76274829931972,57,84,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120.21707936507936,120.40283900226757,59,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119.892,120.08936961451246,61,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119.57853061224489,119.77590022675737,62,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119.25345124716553,119.450820861678,64,74,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118.95030793650794,119.1825074829932,66,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118.66005850340137,118.81098820861679,69,65,1,1,1,1,1,1,1,1,1,1,1,1,1
117.98667981859411,118.26531927437642,71,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
117.34813106575965,117.55711065759638,71,60,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116.8360081632653,117.06820770975057,62,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116.3019492063492,116.47609886621315,71,64,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
115.66340045351474,116.04652970521542,71,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115.07000770975057,115.23383129251701,71,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114.83780816326531,114.97712789115646,73,58,1,1,1,1,1,1,1,1,1,1,1,1
114.17603945578232,114.32696916099773,74,43,1,1,1,1,1,1,1,1,1,1,1,1,1
113.97866984126985,114.17603945578232,71,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111.23614739229025,111.48124081632653,71,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110.59759863945578,110.8065782312925,71,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109.97065986394557,110.19124943310658,62,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109.54109070294784,109.79651020408163,71,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108.91286802721089,109.16828752834468,71,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108.27431927437642,108.47168888888889,71,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108.05372970521543,108.2162693877551,73,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107.45001088435374,107.75187029478458,74,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1,1
107.21652743764173,107.4035709750567,71,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106.14840952380953,106.48509886621315,69,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105.84655011337868,106.10196961451247,57,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105.53308072562359,105.74206031746031,57,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104.46367891156463,104.6262185941043,71,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103.92961995464853,104.06893968253968,59,62,1,1,1,1,1,1,1,1,1,1,1,1
103.82513015873016,103.9992798185941,71,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103.20851746031745,103.41878095238096,62,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102.77894829931972,102.94148798185941,71,64,1,1,1,1,1,1,1,1,1,1,1,1,0,1
102.67445850340135,102.89504807256236,59,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102.46547891156462,102.67445850340135,59,75,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
102.24488934240362,102.46547891156462,59,67,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2
102.14039954648526,102.27971927437642,71,54,1,1,1,1,1,1,1,1,1,1,1,1
101.51346077097506,101.85015011337869,59,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.19870748299319,101.5947306122449,62,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.00133786848072,101.19870748299319,62,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100.67625850340136,100.89684807256235,59,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100.351179138322,100.69947845804988,62,82,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100.03770975056689,100.29312925170068,64,64,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99.30499727891157,99.58492063492064,66,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99.09601768707483,99.24694739229025,57,65,1,1,1,1,1,1,1,1,1,1,1,1,1
98.87542811791384,99.09601768707483,57,52,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
98.2252693877551,98.37619909297052,54,77,1,1,1,1,1,1,1,1,1,1,1,0,0
97.70282040816328,97.84214013605443,62,71,1,1,1,1,1,1,1,1,1,1,1,1
97.59833061224491,97.90019002267574,66,56,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97.38935102040817,97.57511065759638,59,81,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
97.19069750566894,97.38935102040817,59,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95.6001306122449,95.79750022675738,59,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95.3795410430839,95.6001306122449,59,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94.75131836734694,94.96029795918368,61,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94.43784897959183,94.71648843537415,62,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.75311836734693,92.96209795918367,71,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.21905941043083,92.358379138322,66,67,0,0,1,1,1,1,1,1,1,1,1,1
91.90559002267574,92.09134965986394,71,40,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
91.37024716553287,91.51085079365079,66,63,1,1,1,1,1,1,1,1,1,1,1,1,1
91.05677777777777,91.20770748299319,74,58,1,1,1,1,1,1,1,1,1,1,1,1,1
90.53432879818594,90.68525850340136,66,68,1,1,1,1,1,1,1,1,1,1,1,1,1
90.19763945578231,90.36017913832198,59,59,2,1,1,1,1,1,1,1,1,1,1,1,1,1
89.37204716553289,89.52426077097505,59,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1
